Office,Office (Code),Origin,Field of technology,Year,Patent Count
European Patent Office,EP,Total,34 - Other consumer goods,1982,494.0
European Patent Office,EP,Total,35 - Civil engineering,1982,962.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1982,4057.0
United States of America,US,Total,2 - Audio-visual technology,1982,1850.0
United States of America,US,Total,3 - Telecommunications,1982,1000.0
United States of America,US,Total,4 - Digital communication,1982,244.0
United States of America,US,Total,5 - Basic communication processes,1982,1072.0
United States of America,US,Total,6 - Computer technology,1982,997.0
United States of America,US,Total,7 - IT methods for management,1982,28.0
United States of America,US,Total,8 - Semiconductors,1982,866.0
United States of America,US,Total,9 - Optics,1982,2386.0
United States of America,US,Total,10 - Measurement,1982,3119.0
United States of America,US,Total,11 - Analysis of biological materials,1982,301.0
United States of America,US,Total,12 - Control,1982,1007.0
United States of America,US,Total,13 - Medical technology,1982,1839.0
United States of America,US,Total,14 - Organic fine chemistry,1982,3160.0
United States of America,US,Total,15 - Biotechnology,1982,541.0
United States of America,US,Total,16 - Pharmaceuticals,1982,918.0
United States of America,US,Total,"17 - Macromolecular chemistry, polymers",1982,1903.0
United States of America,US,Total,18 - Food chemistry,1982,508.0
United States of America,US,Total,19 - Basic materials chemistry,1982,2343.0
United States of America,US,Total,"20 - Materials, metallurgy",1982,1656.0
United States of America,US,Total,"21 - Surface technology, coating",1982,1116.0
United States of America,US,Total,22 - Micro-structural and nano-technology,1982,
United States of America,US,Total,23 - Chemical engineering,1982,2278.0
United States of America,US,Total,24 - Environmental technology,1982,835.0
United States of America,US,Total,25 - Handling,1982,2371.0
United States of America,US,Total,26 - Machine tools,1982,2260.0
United States of America,US,Total,"27 - Engines, pumps, turbines",1982,2286.0
United States of America,US,Total,28 - Textile and paper machines,1982,1815.0
United States of America,US,Total,29 - Other special machines,1982,2977.0
United States of America,US,Total,30 - Thermal processes and apparatus,1982,1456.0
United States of America,US,Total,31 - Mechanical elements,1982,2451.0
United States of America,US,Total,32 - Transport,1982,2640.0
United States of America,US,Total,"33 - Furniture, games",1982,1845.0
United States of America,US,Total,34 - Other consumer goods,1982,1582.0
United States of America,US,Total,35 - Civil engineering,1982,2425.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1983,1824.0
European Patent Office,EP,Total,2 - Audio-visual technology,1983,1009.0
European Patent Office,EP,Total,3 - Telecommunications,1983,499.0
European Patent Office,EP,Total,4 - Digital communication,1983,176.0
European Patent Office,EP,Total,5 - Basic communication processes,1983,487.0
European Patent Office,EP,Total,6 - Computer technology,1983,779.0
European Patent Office,EP,Total,7 - IT methods for management,1983,16.0
European Patent Office,EP,Total,8 - Semiconductors,1983,660.0
European Patent Office,EP,Total,9 - Optics,1983,977.0
European Patent Office,EP,Total,10 - Measurement,1983,1407.0
European Patent Office,EP,Total,11 - Analysis of biological materials,1983,182.0
European Patent Office,EP,Total,12 - Control,1983,508.0
European Patent Office,EP,Total,13 - Medical technology,1983,956.0
European Patent Office,EP,Total,14 - Organic fine chemistry,1983,1867.0
European Patent Office,EP,Total,15 - Biotechnology,1983,422.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1983,790.0
European Patent Office,EP,Total,"17 - Macromolecular chemistry, polymers",1983,1164.0
European Patent Office,EP,Total,18 - Food chemistry,1983,295.0
European Patent Office,EP,Total,19 - Basic materials chemistry,1983,1423.0
European Patent Office,EP,Total,"20 - Materials, metallurgy",1983,916.0
European Patent Office,EP,Total,"21 - Surface technology, coating",1983,565.0
European Patent Office,EP,Total,22 - Micro-structural and nano-technology,1983,1.0
European Patent Office,EP,Total,23 - Chemical engineering,1983,1139.0
European Patent Office,EP,Total,24 - Environmental technology,1983,366.0
European Patent Office,EP,Total,25 - Handling,1983,1196.0
European Patent Office,EP,Total,26 - Machine tools,1983,1037.0
European Patent Office,EP,Total,"27 - Engines, pumps, turbines",1983,1009.0
European Patent Office,EP,Total,28 - Textile and paper machines,1983,996.0
European Patent Office,EP,Total,29 - Other special machines,1983,1354.0
European Patent Office,EP,Total,30 - Thermal processes and apparatus,1983,637.0
European Patent Office,EP,Total,31 - Mechanical elements,1983,1221.0
European Patent Office,EP,Total,32 - Transport,1983,1117.0
European Patent Office,EP,Total,"33 - Furniture, games",1983,503.0
European Patent Office,EP,Total,34 - Other consumer goods,1983,590.0
European Patent Office,EP,Total,35 - Civil engineering,1983,1070.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1983,3868.0
United States of America,US,Total,2 - Audio-visual technology,1983,1978.0
United States of America,US,Total,3 - Telecommunications,1983,957.0
United States of America,US,Total,4 - Digital communication,1983,239.0
United States of America,US,Total,5 - Basic communication processes,1983,984.0
United States of America,US,Total,6 - Computer technology,1983,1083.0
United States of America,US,Total,7 - IT methods for management,1983,23.0
United States of America,US,Total,8 - Semiconductors,1983,968.0
United States of America,US,Total,9 - Optics,1983,2378.0
United States of America,US,Total,10 - Measurement,1983,2944.0
United States of America,US,Total,11 - Analysis of biological materials,1983,246.0
United States of America,US,Total,12 - Control,1983,934.0
United States of America,US,Total,13 - Medical technology,1983,1772.0
United States of America,US,Total,14 - Organic fine chemistry,1983,2802.0
United States of America,US,Total,15 - Biotechnology,1983,509.0
United States of America,US,Total,16 - Pharmaceuticals,1983,842.0
United States of America,US,Total,"17 - Macromolecular chemistry, polymers",1983,2070.0
United States of America,US,Total,18 - Food chemistry,1983,499.0
United States of America,US,Total,19 - Basic materials chemistry,1983,2529.0
United States of America,US,Total,"20 - Materials, metallurgy",1983,1831.0
United States of America,US,Total,"21 - Surface technology, coating",1983,1264.0
United States of America,US,Total,22 - Micro-structural and nano-technology,1983,1.0
United States of America,US,Total,23 - Chemical engineering,1983,2173.0
United States of America,US,Total,24 - Environmental technology,1983,761.0
United States of America,US,Total,25 - Handling,1983,2247.0
United States of America,US,Total,26 - Machine tools,1983,2284.0
United States of America,US,Total,"27 - Engines, pumps, turbines",1983,2548.0
United States of America,US,Total,28 - Textile and paper machines,1983,2078.0
United States of America,US,Total,29 - Other special machines,1983,2780.0
United States of America,US,Total,30 - Thermal processes and apparatus,1983,1475.0
United States of America,US,Total,31 - Mechanical elements,1983,2247.0
United States of America,US,Total,32 - Transport,1983,2453.0
United States of America,US,Total,"33 - Furniture, games",1983,1552.0
United States of America,US,Total,34 - Other consumer goods,1983,1474.0
United States of America,US,Total,35 - Civil engineering,1983,2457.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1984,1961.0
European Patent Office,EP,Total,2 - Audio-visual technology,1984,1163.0
European Patent Office,EP,Total,3 - Telecommunications,1984,627.0
European Patent Office,EP,Total,4 - Digital communication,1984,224.0
European Patent Office,EP,Total,5 - Basic communication processes,1984,472.0
European Patent Office,EP,Total,6 - Computer technology,1984,879.0
European Patent Office,EP,Total,7 - IT methods for management,1984,21.0
European Patent Office,EP,Total,8 - Semiconductors,1984,674.0
European Patent Office,EP,Total,9 - Optics,1984,1141.0
European Patent Office,EP,Total,10 - Measurement,1984,1620.0
European Patent Office,EP,Total,11 - Analysis of biological materials,1984,247.0
European Patent Office,EP,Total,12 - Control,1984,552.0
European Patent Office,EP,Total,13 - Medical technology,1984,1071.0
European Patent Office,EP,Total,14 - Organic fine chemistry,1984,2008.0
European Patent Office,EP,Total,15 - Biotechnology,1984,582.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1984,937.0
European Patent Office,EP,Total,"17 - Macromolecular chemistry, polymers",1984,1274.0
European Patent Office,EP,Total,18 - Food chemistry,1984,338.0
European Patent Office,EP,Total,19 - Basic materials chemistry,1984,1448.0
European Patent Office,EP,Total,"20 - Materials, metallurgy",1984,993.0
European Patent Office,EP,Total,"21 - Surface technology, coating",1984,628.0
European Patent Office,EP,Total,22 - Micro-structural and nano-technology,1984,2.0
European Patent Office,EP,Total,23 - Chemical engineering,1984,1197.0
European Patent Office,EP,Total,24 - Environmental technology,1984,397.0
European Patent Office,EP,Total,25 - Handling,1984,1287.0
European Patent Office,EP,Total,26 - Machine tools,1984,1250.0
European Patent Office,EP,Total,"27 - Engines, pumps, turbines",1984,991.0
European Patent Office,EP,Total,28 - Textile and paper machines,1984,1168.0
European Patent Office,EP,Total,29 - Other special machines,1984,1467.0
European Patent Office,EP,Total,30 - Thermal processes and apparatus,1984,650.0
European Patent Office,EP,Total,31 - Mechanical elements,1984,1360.0
European Patent Office,EP,Total,32 - Transport,1984,1219.0
European Patent Office,EP,Total,"33 - Furniture, games",1984,593.0
European Patent Office,EP,Total,34 - Other consumer goods,1984,729.0
European Patent Office,EP,Total,35 - Civil engineering,1984,1217.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1984,4547.0
United States of America,US,Total,2 - Audio-visual technology,1984,2174.0
United States of America,US,Total,3 - Telecommunications,1984,1139.0
United States of America,US,Total,4 - Digital communication,1984,298.0
United States of America,US,Total,5 - Basic communication processes,1984,1149.0
United States of America,US,Total,6 - Computer technology,1984,1403.0
United States of America,US,Total,7 - IT methods for management,1984,22.0
United States of America,US,Total,8 - Semiconductors,1984,1074.0
United States of America,US,Total,9 - Optics,1984,2784.0
United States of America,US,Total,10 - Measurement,1984,3690.0
United States of America,US,Total,11 - Analysis of biological materials,1984,317.0
United States of America,US,Total,12 - Control,1984,1068.0
United States of America,US,Total,13 - Medical technology,1984,2199.0
United States of America,US,Total,14 - Organic fine chemistry,1984,3213.0
United States of America,US,Total,15 - Biotechnology,1984,585.0
United States of America,US,Total,16 - Pharmaceuticals,1984,1097.0
United States of America,US,Total,"17 - Macromolecular chemistry, polymers",1984,2204.0
United States of America,US,Total,18 - Food chemistry,1984,473.0
United States of America,US,Total,19 - Basic materials chemistry,1984,2818.0
United States of America,US,Total,"20 - Materials, metallurgy",1984,1916.0
United States of America,US,Total,"21 - Surface technology, coating",1984,1404.0
United States of America,US,Total,22 - Micro-structural and nano-technology,1984,2.0
United States of America,US,Total,23 - Chemical engineering,1984,2373.0
United States of America,US,Total,24 - Environmental technology,1984,880.0
United States of America,US,Total,25 - Handling,1984,2724.0
United States of America,US,Total,26 - Machine tools,1984,2810.0
United States of America,US,Total,"27 - Engines, pumps, turbines",1984,3131.0
United States of America,US,Total,28 - Textile and paper machines,1984,2205.0
United States of America,US,Total,29 - Other special machines,1984,3306.0
United States of America,US,Total,30 - Thermal processes and apparatus,1984,1722.0
United States of America,US,Total,31 - Mechanical elements,1984,3036.0
United States of America,US,Total,32 - Transport,1984,3033.0
United States of America,US,Total,"33 - Furniture, games",1984,1858.0
United States of America,US,Total,34 - Other consumer goods,1984,1721.0
United States of America,US,Total,35 - Civil engineering,1984,3158.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1985,2220.0
European Patent Office,EP,Total,2 - Audio-visual technology,1985,1443.0
European Patent Office,EP,Total,3 - Telecommunications,1985,646.0
European Patent Office,EP,Total,4 - Digital communication,1985,268.0
European Patent Office,EP,Total,5 - Basic communication processes,1985,607.0
European Patent Office,EP,Total,6 - Computer technology,1985,988.0
European Patent Office,EP,Total,7 - IT methods for management,1985,18.0
European Patent Office,EP,Total,8 - Semiconductors,1985,801.0
European Patent Office,EP,Total,9 - Optics,1985,1225.0
European Patent Office,EP,Total,10 - Measurement,1985,1765.0
European Patent Office,EP,Total,11 - Analysis of biological materials,1985,307.0
European Patent Office,EP,Total,12 - Control,1985,588.0
European Patent Office,EP,Total,13 - Medical technology,1985,1217.0
European Patent Office,EP,Total,14 - Organic fine chemistry,1985,2163.0
European Patent Office,EP,Total,15 - Biotechnology,1985,766.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1985,1058.0
European Patent Office,EP,Total,"17 - Macromolecular chemistry, polymers",1985,1443.0
European Patent Office,EP,Total,18 - Food chemistry,1985,370.0
European Patent Office,EP,Total,19 - Basic materials chemistry,1985,1529.0
European Patent Office,EP,Total,"20 - Materials, metallurgy",1985,1167.0
European Patent Office,EP,Total,"21 - Surface technology, coating",1985,768.0
European Patent Office,EP,Total,22 - Micro-structural and nano-technology,1985,1.0
European Patent Office,EP,Total,23 - Chemical engineering,1985,1373.0
European Patent Office,EP,Total,24 - Environmental technology,1985,471.0
European Patent Office,EP,Total,25 - Handling,1985,1433.0
European Patent Office,EP,Total,26 - Machine tools,1985,1314.0
European Patent Office,EP,Total,"27 - Engines, pumps, turbines",1985,1093.0
European Patent Office,EP,Total,28 - Textile and paper machines,1985,1238.0
European Patent Office,EP,Total,29 - Other special machines,1985,1741.0
European Patent Office,EP,Total,30 - Thermal processes and apparatus,1985,668.0
European Patent Office,EP,Total,31 - Mechanical elements,1985,1473.0
European Patent Office,EP,Total,32 - Transport,1985,1385.0
European Patent Office,EP,Total,"33 - Furniture, games",1985,677.0
European Patent Office,EP,Total,34 - Other consumer goods,1985,765.0
European Patent Office,EP,Total,35 - Civil engineering,1985,1390.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1985,4649.0
United States of America,US,Total,2 - Audio-visual technology,1985,2658.0
United States of America,US,Total,3 - Telecommunications,1985,1336.0
United States of America,US,Total,4 - Digital communication,1985,370.0
United States of America,US,Total,5 - Basic communication processes,1985,1387.0
United States of America,US,Total,6 - Computer technology,1985,1441.0
United States of America,US,Total,7 - IT methods for management,1985,36.0
United States of America,US,Total,8 - Semiconductors,1985,1302.0
United States of America,US,Total,9 - Optics,1985,2955.0
United States of America,US,Total,10 - Measurement,1985,3917.0
United States of America,US,Total,11 - Analysis of biological materials,1985,288.0
United States of America,US,Total,12 - Control,1985,1229.0
United States of America,US,Total,13 - Medical technology,1985,2461.0
United States of America,US,Total,14 - Organic fine chemistry,1985,3367.0
United States of America,US,Total,15 - Biotechnology,1985,575.0
United States of America,US,Total,16 - Pharmaceuticals,1985,1075.0
United States of America,US,Total,"17 - Macromolecular chemistry, polymers",1985,2387.0
United States of America,US,Total,18 - Food chemistry,1985,619.0
United States of America,US,Total,19 - Basic materials chemistry,1985,2766.0
United States of America,US,Total,"20 - Materials, metallurgy",1985,1976.0
United States of America,US,Total,"21 - Surface technology, coating",1985,1400.0
United States of America,US,Total,22 - Micro-structural and nano-technology,1985,2.0
United States of America,US,Total,23 - Chemical engineering,1985,2503.0
United States of America,US,Total,24 - Environmental technology,1985,883.0
United States of America,US,Total,25 - Handling,1985,3118.0
United States of America,US,Total,26 - Machine tools,1985,3113.0
United States of America,US,Total,"27 - Engines, pumps, turbines",1985,3079.0
United States of America,US,Total,28 - Textile and paper machines,1985,2509.0
United States of America,US,Total,29 - Other special machines,1985,3442.0
United States of America,US,Total,30 - Thermal processes and apparatus,1985,1608.0
United States of America,US,Total,31 - Mechanical elements,1985,3353.0
United States of America,US,Total,32 - Transport,1985,3031.0
United States of America,US,Total,"33 - Furniture, games",1985,2128.0
United States of America,US,Total,34 - Other consumer goods,1985,2016.0
United States of America,US,Total,35 - Civil engineering,1985,2955.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1986,2552.0
European Patent Office,EP,Total,2 - Audio-visual technology,1986,1656.0
European Patent Office,EP,Total,3 - Telecommunications,1986,791.0
European Patent Office,EP,Total,4 - Digital communication,1986,302.0
European Patent Office,EP,Total,5 - Basic communication processes,1986,622.0
European Patent Office,EP,Total,6 - Computer technology,1986,1233.0
European Patent Office,EP,Total,7 - IT methods for management,1986,26.0
European Patent Office,EP,Total,8 - Semiconductors,1986,976.0
European Patent Office,EP,Total,9 - Optics,1986,1431.0
European Patent Office,EP,Total,10 - Measurement,1986,2064.0
European Patent Office,EP,Total,11 - Analysis of biological materials,1986,343.0
European Patent Office,EP,Total,12 - Control,1986,627.0
European Patent Office,EP,Total,13 - Medical technology,1986,1427.0
European Patent Office,EP,Total,14 - Organic fine chemistry,1986,2375.0
European Patent Office,EP,Total,15 - Biotechnology,1986,902.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1986,1266.0
European Patent Office,EP,Total,"17 - Macromolecular chemistry, polymers",1986,1660.0
European Patent Office,EP,Total,18 - Food chemistry,1986,418.0
European Patent Office,EP,Total,19 - Basic materials chemistry,1986,1691.0
European Patent Office,EP,Total,"20 - Materials, metallurgy",1986,1257.0
European Patent Office,EP,Total,"21 - Surface technology, coating",1986,862.0
European Patent Office,EP,Total,22 - Micro-structural and nano-technology,1986,2.0
European Patent Office,EP,Total,23 - Chemical engineering,1986,1521.0
European Patent Office,EP,Total,24 - Environmental technology,1986,565.0
European Patent Office,EP,Total,25 - Handling,1986,1593.0
European Patent Office,EP,Total,26 - Machine tools,1986,1446.0
European Patent Office,EP,Total,"27 - Engines, pumps, turbines",1986,1281.0
European Patent Office,EP,Total,28 - Textile and paper machines,1986,1325.0
European Patent Office,EP,Total,29 - Other special machines,1986,1897.0
European Patent Office,EP,Total,30 - Thermal processes and apparatus,1986,770.0
European Patent Office,EP,Total,31 - Mechanical elements,1986,1646.0
European Patent Office,EP,Total,32 - Transport,1986,1574.0
European Patent Office,EP,Total,"33 - Furniture, games",1986,759.0
European Patent Office,EP,Total,34 - Other consumer goods,1986,799.0
European Patent Office,EP,Total,35 - Civil engineering,1986,1495.0
United States of America,US,Total,"1 - Electrical machinery, apparatus, energy",1986,4400.0
United States of America,US,Total,2 - Audio-visual technology,1986,2821.0
