year,iso_code_2,iso_code_3,countries,economic_freedom_summary_index
1990,FR,FRA,France,7.37
1990,DE,DEU,Germany,8.24
1990,IN,IND,India,4.92
1990,ID,IDN,Indonesia,5.81
1990,IT,ITA,Italy,7.05
1990,JP,JPN,Japan,8.22
1990,KR,KOR,"Korea, Rep.",6.78
1990,MX,MEX,Mexico,5.91
1990,RU,RUS,Russian Federation,3.55
1990,ZA,ZAF,South Africa,5.63
1990,TR,TUR,Türkiye,5.15
1990,GB,GBR,United Kingdom,8.3
1990,US,USA,United States,8.68
1985,AR,ARG,Argentina,3.65
1985,AU,AUS,Australia,8.26
1985,BR,BRA,Brazil,3.01
1985,CA,CAN,Canada,8.25
1985,CN,CHN,China,4.2
1985,FR,FRA,France,6.43
1985,DE,DEU,Germany,8.11
1985,IN,IND,India,4.81
1985,ID,IDN,Indonesia,5.72
1985,IT,ITA,Italy,5.97
1985,JP,JPN,Japan,7.84
1985,KR,KOR,"Korea, Rep.",5.73
1985,MX,MEX,Mexico,4.65
1985,RU,RUS,Russian Federation,3.52
1985,ZA,ZAF,South Africa,5.42
1985,TR,TUR,Türkiye,4.66
1985,GB,GBR,United Kingdom,8.23
1985,US,USA,United States,8.5
1980,AR,ARG,Argentina,4.16
1980,AU,AUS,Australia,7.92
1980,BR,BRA,Brazil,3.92
1980,CA,CAN,Canada,8.16
1980,CN,CHN,China,4.03
1980,FR,FRA,France,6.59
1980,DE,DEU,Germany,8.01
1980,IN,IND,India,4.88
1980,ID,IDN,Indonesia,4.78
1980,IT,ITA,Italy,5.7
1980,JP,JPN,Japan,7.42
1980,KR,KOR,"Korea, Rep.",5.21
1980,MX,MEX,Mexico,5.38
1980,RU,RUS,Russian Federation,2.88
1980,ZA,ZAF,South Africa,5.38
1980,TR,TUR,Türkiye,3.54
1980,GB,GBR,United Kingdom,7.23
1980,US,USA,United States,8.34
1975,AR,ARG,Argentina,3.53
1975,AU,AUS,Australia,7.47
1975,BR,BRA,Brazil,3.96
1975,CA,CAN,Canada,7.88
1975,FR,FRA,France,6.55
1975,DE,DEU,Germany,7.78
1975,IN,IND,India,4.41
1975,ID,IDN,Indonesia,4.78
1975,IT,ITA,Italy,5.75
1975,JP,JPN,Japan,7.18
1975,KR,KOR,"Korea, Rep.",5.42
1975,MX,MEX,Mexico,6.57
1975,RU,RUS,Russian Federation,2.88
1975,ZA,ZAF,South Africa,5.69
1975,TR,TUR,Türkiye,4.53
1975,GB,GBR,United Kingdom,6.31
1975,US,USA,United States,8.09
1970,AR,ARG,Argentina,5.65
1970,AU,AUS,Australia,7.89
1970,BR,BRA,Brazil,4.83
1970,CA,CAN,Canada,8.1
1970,FR,FRA,France,6.6
1970,DE,DEU,Germany,8.02
1970,IN,IND,India,5.64
1970,ID,IDN,Indonesia,4.37
1970,IT,ITA,Italy,6.41
1970,JP,JPN,Japan,7.32
1970,KR,KOR,"Korea, Rep.",5.9
1970,MX,MEX,Mexico,6.8
1970,ZA,ZAF,South Africa,6.04
1970,TR,TUR,Türkiye,4.49
1970,GB,GBR,United Kingdom,6.33
1970,US,USA,United States,7.89
