Series Code,Country Name,Country Code,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",GDP per capita (constant 2015 US$)
SE.SEC.CUAT.LO.ZS,"Egypt, Arab Rep.",EGY,..,4088.897045
SE.SEC.CUAT.LO.ZS,El Salvador,SLV,48.79000092,4310.910799
SE.SEC.CUAT.LO.ZS,Equatorial Guinea,GNQ,..,5976.900108
SE.SEC.CUAT.LO.ZS,Eritrea,ERI,..,..
SE.SEC.CUAT.LO.ZS,Estonia,EST,98.70513153,21140.99722
SE.SEC.CUAT.LO.ZS,Eswatini,SWZ,49.09936905,4012.94045
SE.SEC.CUAT.LO.ZS,Ethiopia,ETH,..,857.3487002
SE.SEC.CUAT.LO.ZS,Faroe Islands,FRO,..,59699.20083
SE.SEC.CUAT.LO.ZS,Fiji,FJI,..,5313.028438
SE.SEC.CUAT.LO.ZS,Finland,FIN,91.60224915,46655.16536
SE.SEC.CUAT.LO.ZS,France,FRA,87.35844421,38816.47928
SE.SEC.CUAT.LO.ZS,French Polynesia,PYF,..,19262.6132
SE.SEC.CUAT.LO.ZS,Gabon,GAB,..,6637.066106
SE.SEC.CUAT.LO.ZS,"Gambia, The",GMB,..,688.6527914
SE.SEC.CUAT.LO.ZS,Georgia,GEO,98.43000031,5736.304496
SE.SEC.CUAT.LO.ZS,Germany,DEU,93.95913696,43361.17712
SE.SEC.CUAT.LO.ZS,Ghana,GHA,54.21273041,2046.007619
SE.SEC.CUAT.LO.ZS,Gibraltar,GIB,..,..
SE.SEC.CUAT.LO.ZS,Greece,GRC,76.97865295,20287.7253
SE.SEC.CUAT.LO.ZS,Greenland,GRL,..,..
SE.SEC.CUAT.LO.ZS,Grenada,GRD,..,8766.930964
SE.SEC.CUAT.LO.ZS,Guam,GUM,..,33298.6993
SE.SEC.CUAT.LO.ZS,Guatemala,GTM,33.12242889,4504.129223
SE.SEC.CUAT.LO.ZS,Guinea,GIN,..,994.4369972
SE.SEC.CUAT.LO.ZS,Guinea-Bissau,GNB,37.93650436,736.9322106
SE.SEC.CUAT.LO.ZS,Guyana,GUY,..,17646.21592
SE.SEC.CUAT.LO.ZS,Haiti,HTI,..,1247.892382
SE.SEC.CUAT.LO.ZS,Honduras,HND,36.30400085,2489.602336
SE.SEC.CUAT.LO.ZS,"Hong Kong SAR, China",HKG,80.62000275,43283.0159
SE.SEC.CUAT.LO.ZS,Hungary,HUN,98.67421722,16345.31109
SE.SEC.CUAT.LO.ZS,Iceland,ISL,99.72463989,57816.36166
SE.SEC.CUAT.LO.ZS,India,IND,49.75,2098.220931
SE.SEC.CUAT.LO.ZS,Indonesia,IDN,56.70421219,4073.55835
SE.SEC.CUAT.LO.ZS,"Iran, Islamic Rep.",IRN,64.24500275,5507.533395
SE.SEC.CUAT.LO.ZS,Iraq,IRQ,..,4357.865927
SE.SEC.CUAT.LO.ZS,Ireland,IRL,90.14283752,97316.87751
SE.SEC.CUAT.LO.ZS,Isle of Man,IMN,..,..
SE.SEC.CUAT.LO.ZS,Israel,ISR,91.68765259,42710.77822
SE.SEC.CUAT.LO.ZS,Italy,ITA,82.85817719,33364.10905
SE.SEC.CUAT.LO.ZS,Jamaica,JAM,77.39076996,5236.790244
SE.SEC.CUAT.LO.ZS,Japan,JPN,..,36202.63927
SE.SEC.CUAT.LO.ZS,Jordan,JOR,..,3891.212226
SE.SEC.CUAT.LO.ZS,Kazakhstan,KAZ,..,11283.41609
SE.SEC.CUAT.LO.ZS,Kenya,KEN,64.95211029,1754.58548
SE.SEC.CUAT.LO.ZS,Kiribati,KIR,..,1942.698066
SE.SEC.CUAT.LO.ZS,"Korea, Dem. People's Rep.",PRK,88.84009552,..
SE.SEC.CUAT.LO.ZS,"Korea, Rep.",KOR,88.84009552,33690.37888
SE.SEC.CUAT.LO.ZS,Kosovo,XKX,..,4666.41775
SE.SEC.CUAT.LO.ZS,Kuwait,KWT,..,27953.33943
SE.SEC.CUAT.LO.ZS,Kyrgyz Republic,KGZ,..,1212.23374
SE.SEC.CUAT.LO.ZS,Lao PDR,LAO,40.41459656,2599.204888
SE.SEC.CUAT.LO.ZS,Latvia,LVA,97.89329529,17014.61909
SE.SEC.CUAT.LO.ZS,Lebanon,LBN,..,6183.243915
SE.SEC.CUAT.LO.ZS,Lesotho,LSO,..,952.2528378
SE.SEC.CUAT.LO.ZS,Liberia,LBR,..,646.5011617
SE.SEC.CUAT.LO.ZS,Libya,LBY,..,10140.73817
SE.SEC.CUAT.LO.ZS,Liechtenstein,LIE,..,..
SE.SEC.CUAT.LO.ZS,Lithuania,LTU,97.46811676,18535.07797
SE.SEC.CUAT.LO.ZS,Luxembourg,LUX,90.70898438,109714.9243
SE.SEC.CUAT.LO.ZS,"Macao SAR, China",MAC,..,32503.60383
SE.SEC.CUAT.LO.ZS,Madagascar,MDG,..,453.858147
SE.SEC.CUAT.LO.ZS,Malawi,MWI,..,554.1985772
SE.SEC.CUAT.LO.ZS,Malaysia,MYS,80.56999969,11399.39714
SE.SEC.CUAT.LO.ZS,Maldives,MDV,..,11035.58247
SE.SEC.CUAT.LO.ZS,Mali,MLI,16.99212456,747.1529265
SE.SEC.CUAT.LO.ZS,Malta,MLT,87.8212738,30760.6355
SE.SEC.CUAT.LO.ZS,Marshall Islands,MHL,..,5313.444827
SE.SEC.CUAT.LO.ZS,Mauritania,MRT,..,1616.981803
SE.SEC.CUAT.LO.ZS,Mauritius,MUS,65.62595367,10570.42753
SE.SEC.CUAT.LO.ZS,Mexico,MEX,66.11000061,10078.60254
SE.SEC.CUAT.LO.ZS,"Micronesia, Fed. Sts.",FSM,..,2923.222952
SE.SEC.CUAT.LO.ZS,Moldova,MDA,98.25,3581.719725
SE.SEC.CUAT.LO.ZS,Monaco,MCO,..,228667.9353
SE.SEC.CUAT.LO.ZS,Mongolia,MNG,91.06874084,4249.675014
SE.SEC.CUAT.LO.ZS,Montenegro,MNE,92.51740265,7889.237633
SE.SEC.CUAT.LO.ZS,Morocco,MAR,..,3300.799805
SE.SEC.CUAT.LO.ZS,Mozambique,MOZ,17.81653976,590.3689084
SE.SEC.CUAT.LO.ZS,Myanmar,MMR,..,1165.605523
SE.SEC.CUAT.LO.ZS,Namibia,NAM,..,4394.397099
SE.SEC.CUAT.LO.ZS,Nauru,NRU,..,7861.683478
SE.SEC.CUAT.LO.ZS,Nepal,NPL,..,1083.220378
SE.SEC.CUAT.LO.ZS,Netherlands,NLD,91.85954285,50546.78937
SE.SEC.CUAT.LO.ZS,New Caledonia,NCL,95.71352386,..
SE.SEC.CUAT.LO.ZS,New Zealand,NZL,..,42320.89244
SE.SEC.CUAT.LO.ZS,Nicaragua,NIC,..,2119.395179
